id,Accuracy,Precision,Recall,F1
94,0.835,0.4778761061946903,0.3375,0.39560439560439564
95,0.84,0.5,0.2,0.28571428571428575
96,0.838,0.4927536231884058,0.425,0.4563758389261745
97,0.843,0.5294117647058824,0.16875,0.2559241706161137
98,0.836,0.4714285714285714,0.20625,0.28695652173913044
99,0.841,0.5098039215686274,0.1625,0.24644549763033177
100,0.837,0.4838709677419355,0.28125,0.35573122529644274
101,0.836,0.47435897435897434,0.23125,0.3109243697478991
102,0.83,0.45098039215686275,0.2875,0.35114503816793885
103,0.839,0.4925373134328358,0.20625,0.2907488986784141
104,0.826,0.45625,0.45625,0.45625
105,0.843,0.5294117647058824,0.16875,0.2559241706161137
106,0.841,0.5038167938931297,0.4125,0.4536082474226804
107,0.842,0.5080645161290323,0.39375,0.4436619718309859
108,0.845,0.5490196078431373,0.175,0.2654028436018957
109,0.823,0.4472049689440994,0.45,0.4485981308411215
110,0.797,0.4122448979591837,0.63125,0.4987654320987654
111,0.795,0.4050632911392405,0.6,0.4836272040302267
112,0.838,0.48214285714285715,0.16875,0.25
113,0.839,0.49333333333333335,0.23125,0.3148936170212766
114,0.838,0.49295774647887325,0.4375,0.4635761589403974
115,0.834,0.4666666666666667,0.2625,0.336
116,0.835,0.4675324675324675,0.225,0.30379746835443033
117,0.834,0.45714285714285713,0.2,0.2782608695652174
118,0.832,0.4722222222222222,0.425,0.4473684210526316
119,0.817,0.4303030303030303,0.44375,0.4369230769230769
120,0.843,0.5254237288135594,0.19375,0.28310502283105027
121,0.814,0.42528735632183906,0.4625,0.44311377245508987
122,0.843,0.5130434782608696,0.36875,0.42909090909090913
123,0.844,0.5526315789473685,0.13125,0.21212121212121215
124,0.835,0.48322147651006714,0.45,0.46601941747572817
125,0.844,0.5454545454545454,0.15,0.2352941176470588
126,0.844,0.524390243902439,0.26875,0.35537190082644626
127,0.835,0.48299319727891155,0.44375,0.46254071661237783
128,0.839,0.4925373134328358,0.20625,0.2907488986784141
129,0.82,0.4375,0.4375,0.4375
130,0.846,0.5652173913043478,0.1625,0.2524271844660194
131,0.835,0.4647887323943662,0.20625,0.2857142857142857
132,0.843,0.5365853658536586,0.1375,0.21890547263681595
133,0.842,0.5131578947368421,0.24375,0.33050847457627114
134,0.836,0.4859154929577465,0.43125,0.45695364238410596
135,0.844,0.5370370370370371,0.18125,0.27102803738317754
136,0.836,0.4863013698630137,0.44375,0.4640522875816993
137,0.836,0.47674418604651164,0.25625,0.33333333333333326
138,0.837,0.4805194805194805,0.23125,0.31223628691983124
139,0.837,0.4782608695652174,0.20625,0.28820960698689957
140,0.844,0.5476190476190477,0.14375,0.22772277227722768
141,0.82,0.4411764705882353,0.46875,0.45454545454545453
142,0.842,0.5185185185185185,0.175,0.26168224299065423
143,0.833,0.45569620253164556,0.225,0.301255230125523
144,0.838,0.48863636363636365,0.26875,0.3467741935483871
145,0.848,0.5526315789473685,0.2625,0.3559322033898305
146,0.843,0.5294117647058824,0.16875,0.2559241706161137
147,0.797,0.4052863436123348,0.575,0.47545219638242886
148,0.832,0.46153846153846156,0.3,0.3636363636363637
149,0.839,0.49333333333333335,0.23125,0.3148936170212766
150,0.844,0.54,0.16875,0.2571428571428572
151,0.84,0.5,0.16875,0.25233644859813087
152,0.845,0.5581395348837209,0.15,0.23645320197044334
153,0.843,0.5348837209302325,0.14375,0.22660098522167485
154,0.843,0.5405405405405406,0.125,0.20304568527918782
155,0.847,0.574468085106383,0.16875,0.26086956521739135
156,0.839,0.49206349206349204,0.19375,0.2780269058295964
157,0.843,0.5405405405405406,0.125,0.20304568527918782
158,0.838,0.484375,0.19375,0.2767857142857143
159,0.835,0.48299319727891155,0.44375,0.46254071661237783
160,0.838,0.4864864864864865,0.225,0.3076923076923077
161,0.846,0.5517241379310345,0.2,0.29357798165137616
162,0.843,0.514018691588785,0.34375,0.41198501872659177
163,0.839,0.4936708860759494,0.24375,0.3263598326359833
164,0.847,0.5714285714285714,0.175,0.26794258373205737
165,0.842,0.5384615384615384,0.0875,0.15053763440860213
166,0.842,0.5185185185185185,0.175,0.26168224299065423
167,0.843,0.5223880597014925,0.21875,0.30837004405286345
168,0.796,0.4090909090909091,0.61875,0.4925373134328359
169,0.839,0.4961832061068702,0.40625,0.4467353951890034
170,0.846,0.575,0.14375,0.22999999999999995
171,0.787,0.3952569169960474,0.625,0.48426150121065376
172,0.846,0.575,0.14375,0.22999999999999995
173,0.845,0.5609756097560976,0.14375,0.2288557213930348
174,0.813,0.4228571428571429,0.4625,0.4417910447761194
175,0.836,0.4807692307692308,0.3125,0.37878787878787873
176,0.846,0.5416666666666666,0.24375,0.33620689655172414
177,0.846,0.56,0.175,0.26666666666666666
178,0.845,0.5581395348837209,0.15,0.23645320197044334
179,0.837,0.47692307692307695,0.19375,0.27555555555555555
180,0.817,0.4342857142857143,0.475,0.45373134328358206
181,0.835,0.45901639344262296,0.175,0.25339366515837103
182,0.841,0.5034965034965035,0.45,0.47524752475247534
183,0.846,0.5652173913043478,0.1625,0.2524271844660194
184,0.846,0.5625,0.16875,0.25961538461538464
185,0.832,0.46551724137931033,0.3375,0.3913043478260869
186,0.842,0.5172413793103449,0.1875,0.27522935779816515
187,0.835,0.4626865671641791,0.19375,0.27312775330396477
188,0.844,0.5357142857142857,0.1875,0.2777777777777778
189,0.838,0.4880952380952381,0.25625,0.3360655737704918
190,0.843,0.5272727272727272,0.18125,0.2697674418604651
191,0.833,0.47651006711409394,0.44375,0.459546925566343
192,0.846,0.5576923076923077,0.18125,0.27358490566037735
193,0.842,0.5277777777777778,0.11875,0.19387755102040816
194,0.845,0.5925925925925926,0.1,0.17112299465240643
195,0.84,0.5,0.3625,0.42028985507246375
196,0.835,0.4725274725274725,0.26875,0.3426294820717132
197,0.845,0.5581395348837209,0.15,0.23645320197044334
198,0.786,0.39849624060150374,0.6625,0.49765258215962443
199,0.846,0.5652173913043478,0.1625,0.2524271844660194
200,0.836,0.4852941176470588,0.4125,0.44594594594594594
201,0.844,0.5256410256410257,0.25625,0.3445378151260504
202,0.847,0.5660377358490566,0.1875,0.28169014084507044
203,0.847,0.5660377358490566,0.1875,0.28169014084507044
204,0.837,0.4896551724137931,0.44375,0.46557377049180326
